Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
593,2013,23-Mar-13,West,Third Round,14 Harvard,51,6 Arizona,74,,-23,"Salt Lake City, UT"
594,2013,23-Mar-13,West,Third Round,1 Gonzaga,70,9 Wichita State,76,,-6,"Salt Lake City, UT"
595,2013,23-Mar-13,Midwest,Third Round,8 Colorado State,56,1 Louisville,82,,-26,"Lexington, KY"
596,2013,23-Mar-13,East,Third Round,12 California,60,4 Syracuse,66,,-6,"San Jose, CA"
597,2013,23-Mar-13,East,Third Round,6 Butler,72,3 Marquette,74,,-2,"Lexington, KY"
598,2013,23-Mar-13,West,Third Round,6 Arizona,74,14 Harvard,51,,23,"Salt Lake City, UT"
599,2013,22-Mar-13,West,Second Round,5 Wisconsin,46,12 Mississippi,57,,-11,"Kansas City, MO"
600,2013,22-Mar-13,South,Second Round,16 Western Kentucky,57,1 Kansas,64,,-7,"Kansas City, MO"
601,2013,22-Mar-13,South,Second Round,9 Villanova,71,8 North Carolina,78,,-7,"Kansas City, MO"
602,2013,22-Mar-13,South,Second Round,6 UCLA,63,11 Minnesota,83,,-20,"Austin, TX"
603,2013,22-Mar-13,East,Second Round,9 Temple,76,8 North Carolina State,72,,4,"Dayton, OH"
604,2013,22-Mar-13,South,Second Round,7 San Diego State,70,10 Oklahoma,55,,15,"Philadelphia, PA"
605,2013,22-Mar-13,East,Second Round,15 Pacific,49,2 Miami (FL),78,,-29,"Austin, TX"
606,2013,22-Mar-13,South,Second Round,10 Oklahoma,55,7 San Diego State,70,,-15,"Philadelphia, PA"
607,2013,22-Mar-13,West,Second Round,2 Ohio State,95,15 Iona,70,,25,"Dayton, OH"
608,2013,22-Mar-13,West,Second Round,7 Notre Dame,58,10 Iowa State,76,,-18,"Dayton, OH"
609,2013,22-Mar-13,South,Second Round,14 Northwestern State,47,3 Florida,79,,-32,"Austin, TX"
610,2013,22-Mar-13,East,Second Round,8 North Carolina State,72,9 Temple,76,,-4,"Dayton, OH"
611,2013,22-Mar-13,South,Second Round,8 North Carolina,78,9 Villanova,71,,7,"Kansas City, MO"
612,2013,22-Mar-13,West,Second Round,12 Mississippi,57,5 Wisconsin,46,,11,"Kansas City, MO"
613,2013,22-Mar-13,South,Second Round,11 Minnesota,83,6 UCLA,63,,20,"Austin, TX"
614,2013,22-Mar-13,East,Second Round,2 Miami (FL),78,15 Pacific,49,,29,"Austin, TX"
615,2013,22-Mar-13,West,Second Round,13 La Salle,63,4 Kansas State,61,,2,"Kansas City, MO"
616,2013,22-Mar-13,West,Second Round,4 Kansas State,61,13 La Salle,63,,-2,"Kansas City, MO"
617,2013,22-Mar-13,South,Second Round,1 Kansas,64,16 Western Kentucky,57,,7,"Kansas City, MO"
618,2013,22-Mar-13,East,Second Round,16 James Madison,62,1 Indiana,83,,-21,"Dayton, OH"
619,2013,22-Mar-13,West,Second Round,10 Iowa State,76,7 Notre Dame,58,,18,"Dayton, OH"
620,2013,22-Mar-13,West,Second Round,15 Iona,70,2 Ohio State,95,,-25,"Dayton, OH"
621,2013,22-Mar-13,East,Second Round,1 Indiana,83,16 James Madison,62,,21,"Dayton, OH"
622,2013,22-Mar-13,East,Second Round,7 Illinois,57,10 Colorado,49,,8,"Austin, TX"
623,2013,22-Mar-13,South,Second Round,2 Georgetown,68,15 Florida Gulf Coast,78,,-10,"Philadelphia, PA"
624,2013,22-Mar-13,South,Second Round,15 Florida Gulf Coast,78,2 Georgetown,68,,10,"Philadelphia, PA"
625,2013,22-Mar-13,South,Second Round,3 Florida,79,14 Northwestern State,47,,32,"Austin, TX"
626,2013,22-Mar-13,Midwest,Second Round,2 Duke,73,15 Albany (NY),61,,12,"Philadelphia, PA"
627,2013,22-Mar-13,Midwest,Second Round,7 Creighton,67,10 Cincinnati,63,,4,"Philadelphia, PA"
628,2013,22-Mar-13,East,Second Round,10 Colorado,49,7 Illinois,57,,-8,"Austin, TX"
629,2013,22-Mar-13,Midwest,Second Round,10 Cincinnati,63,7 Creighton,67,,-4,"Philadelphia, PA"
630,2013,22-Mar-13,Midwest,Second Round,15 Albany (NY),61,2 Duke,73,,-12,"Philadelphia, PA"
631,2013,21-Mar-13,West,Second Round,9 Wichita State,73,8 Pittsburgh,55,,18,"Salt Lake City, UT"
632,2013,21-Mar-13,South,Second Round,5 Virginia Commonwealth,88,12 Akron,42,,46,"Auburn Hills, MI"
633,2013,21-Mar-13,Midwest,Second Round,14 Valparaiso,54,3 Michigan State,65,,-11,"Auburn Hills, MI"
634,2013,21-Mar-13,East,Second Round,4 Syracuse,81,13 Montana,34,,47,"San Jose, CA"
635,2013,21-Mar-13,West,Second Round,16 Southern,58,1 Gonzaga,64,,-6,"Salt Lake City, UT"
636,2013,21-Mar-13,South,Second Round,13 South Dakota State,56,4 Michigan,71,,-15,"Auburn Hills, MI"
637,2013,21-Mar-13,Midwest,Second Round,11 Saint Mary's (CA),52,6 Memphis,54,,-2,"Auburn Hills, MI"
638,2013,21-Mar-13,Midwest,Second Round,4 Saint Louis,64,13 New Mexico State,44,,20,"San Jose, CA"
639,2013,21-Mar-13,West,Second Round,8 Pittsburgh,55,9 Wichita State,73,,-18,"Salt Lake City, UT"
640,2013,21-Mar-13,Midwest,Second Round,12 Oregon,68,5 Oklahoma State,55,,13,"San Jose, CA"
641,2013,21-Mar-13,Midwest,Second Round,5 Oklahoma State,55,12 Oregon,68,,-13,"San Jose, CA"
642,2013,21-Mar-13,Midwest,Second Round,16 North Carolina A&T,48,1 Louisville,79,,-31,"Lexington, KY"
643,2013,21-Mar-13,Midwest,Second Round,13 New Mexico State,44,4 Saint Louis,64,,-20,"San Jose, CA"
644,2013,21-Mar-13,West,Second Round,3 New Mexico,62,14 Harvard,68,,-6,"Salt Lake City, UT"
645,2013,21-Mar-13,East,Second Round,5 Nevada-Las Vegas,61,12 California,64,,-3,"San Jose, CA"
646,2013,21-Mar-13,East,Second Round,13 Montana,34,4 Syracuse,81,,-47,"San Jose, CA"
647,2013,21-Mar-13,Midwest,Second Round,9 Missouri,72,8 Colorado State,84,,-12,"Lexington, KY"
648,2013,21-Mar-13,Midwest,Second Round,3 Michigan State,65,14 Valparaiso,54,,11,"Auburn Hills, MI"
649,2013,21-Mar-13,South,Second Round,4 Michigan,71,13 South Dakota State,56,,15,"Auburn Hills, MI"
650,2013,21-Mar-13,Midwest,Second Round,6 Memphis,54,11 Saint Mary's (CA),52,,2,"Auburn Hills, MI"
651,2013,21-Mar-13,East,Second Round,3 Marquette,59,14 Davidson,58,,1,"Lexington, KY"
652,2013,21-Mar-13,Midwest,Second Round,1 Louisville,79,16 North Carolina A&T,48,,31,"Lexington, KY"
653,2013,21-Mar-13,West,Second Round,14 Harvard,68,3 New Mexico,62,,6,"Salt Lake City, UT"
654,2013,21-Mar-13,West,Second Round,1 Gonzaga,64,16 Southern,58,,6,"Salt Lake City, UT"
655,2013,21-Mar-13,East,Second Round,14 Davidson,58,3 Marquette,59,,-1,"Lexington, KY"
656,2013,21-Mar-13,Midwest,Second Round,8 Colorado State,84,9 Missouri,72,,12,"Lexington, KY"
657,2013,21-Mar-13,East,Second Round,12 California,64,5 Nevada-Las Vegas,61,,3,"San Jose, CA"
658,2013,21-Mar-13,East,Second Round,6 Butler,68,11 Bucknell,56,,12,"Lexington, KY"
659,2013,21-Mar-13,East,Second Round,11 Bucknell,56,6 Butler,68,,-12,"Lexington, KY"
660,2013,21-Mar-13,West,Second Round,11 Belmont,64,6 Arizona,81,,-17,"Salt Lake City, UT"
661,2013,21-Mar-13,West,Second Round,6 Arizona,81,11 Belmont,64,,17,"Salt Lake City, UT"
662,2013,21-Mar-13,South,Second Round,12 Akron,42,5 Virginia Commonwealth,88,,-46,"Auburn Hills, MI"
663,2013,20-Mar-13,East,First Round,16 Long Island University,55,16 James Madison,68,,-13,"Dayton, OH"
664,2013,20-Mar-13,West,First Round,13 La Salle,80,13 Boise State,71,,9,"Dayton, OH"
665,2013,20-Mar-13,East,First Round,16 James Madison,68,16 Long Island University,55,,13,"Dayton, OH"
666,2013,20-Mar-13,West,First Round,13 Boise State,71,13 La Salle,80,,-9,"Dayton, OH"
667,2013,19-Mar-13,Midwest,First Round,11 Saint Mary's (CA),67,11 Middle Tennessee,54,,13,"Dayton, OH"
668,2013,19-Mar-13,Midwest,First Round,16 North Carolina A&T,73,16 Liberty,72,,1,"Dayton, OH"
669,2013,19-Mar-13,Midwest,First Round,11 Middle Tennessee,54,11 Saint Mary's (CA),67,,-13,"Dayton, OH"
670,2013,19-Mar-13,Midwest,First Round,16 Liberty,72,16 North Carolina A&T,73,,-1,"Dayton, OH"
671,2012,2-Apr-12,National,National Final,1 Kentucky,67,2 Kansas,59,,8,"New Orleans, LA"
672,2012,2-Apr-12,National,National Final,2 Kansas,59,1 Kentucky,67,,-8,"New Orleans, LA"
673,2012,31-Mar-12,National,National Semifinal,2 Ohio State,62,2 Kansas,64,,-2,"New Orleans, LA"
674,2012,31-Mar-12,National,National Semifinal,4 Louisville,61,1 Kentucky,69,,-8,"New Orleans, LA"
675,2012,31-Mar-12,National,National Semifinal,1 Kentucky,69,4 Louisville,61,,8,"New Orleans, LA"
676,2012,31-Mar-12,National,National Semifinal,2 Kansas,64,2 Ohio State,62,,2,"New Orleans, LA"
677,2012,25-Mar-12,Midwest,Regional Final,1 North Carolina,67,2 Kansas,80,,-13,"St. Louis, MO"
678,2012,25-Mar-12,South,Regional Final,1 Kentucky,82,3 Baylor,70,,12,"Atlanta, GA"
679,2012,25-Mar-12,Midwest,Regional Final,2 Kansas,80,1 North Carolina,67,,13,"St. Louis, MO"
680,2012,25-Mar-12,South,Regional Final,3 Baylor,70,1 Kentucky,82,,-12,"Atlanta, GA"
681,2012,24-Mar-12,East,Regional Final,1 Syracuse,70,2 Ohio State,77,,-7,"Boston, MA"
682,2012,24-Mar-12,East,Regional Final,2 Ohio State,77,1 Syracuse,70,,7,"Boston, MA"
683,2012,24-Mar-12,West,Regional Final,4 Louisville,72,7 Florida,68,,4,"Phoenix, AZ"
684,2012,24-Mar-12,West,Regional Final,7 Florida,68,4 Louisville,72,,-4,"Phoenix, AZ"
685,2012,23-Mar-12,South,Regional Semifinal,10 Xavier,70,3 Baylor,75,,-5,"Atlanta, GA"
686,2012,23-Mar-12,Midwest,Regional Semifinal,13 Ohio,65,1 North Carolina,73,OT,-8,"St. Louis, MO"
687,2012,23-Mar-12,Midwest,Regional Semifinal,11 North Carolina State,57,2 Kansas,60,,-3,"St. Louis, MO"
688,2012,23-Mar-12,Midwest,Regional Semifinal,1 North Carolina,73,13 Ohio,65,OT,8,"St. Louis, MO"
689,2012,23-Mar-12,South,Regional Semifinal,1 Kentucky,102,4 Indiana,90,,12,"Atlanta, GA"
690,2012,23-Mar-12,Midwest,Regional Semifinal,2 Kansas,60,11 North Carolina State,57,,3,"St. Louis, MO"
691,2012,23-Mar-12,South,Regional Semifinal,4 Indiana,90,1 Kentucky,102,,-12,"Atlanta, GA"
692,2012,23-Mar-12,South,Regional Semifinal,3 Baylor,75,10 Xavier,70,,5,"Atlanta, GA"
693,2012,22-Mar-12,East,Regional Semifinal,4 Wisconsin,63,1 Syracuse,64,,-1,"Boston, MA"
694,2012,22-Mar-12,East,Regional Semifinal,1 Syracuse,64,4 Wisconsin,63,,1,"Boston, MA"
695,2012,22-Mar-12,East,Regional Semifinal,2 Ohio State,81,6 Cincinnati,66,,15,"Boston, MA"
696,2012,22-Mar-12,West,Regional Semifinal,1 Michigan State,44,4 Louisville,57,,-13,"Phoenix, AZ"
697,2012,22-Mar-12,West,Regional Semifinal,3 Marquette,58,7 Florida,68,,-10,"Phoenix, AZ"
698,2012,22-Mar-12,West,Regional Semifinal,4 Louisville,57,1 Michigan State,44,,13,"Phoenix, AZ"
699,2012,22-Mar-12,West,Regional Semifinal,7 Florida,68,3 Marquette,58,,10,"Phoenix, AZ"
700,2012,22-Mar-12,East,Regional Semifinal,6 Cincinnati,66,2 Ohio State,81,,-15,"Boston, MA"
701,2012,18-Mar-12,South,Third Round,10 Xavier,70,15 Lehigh,58,,12,"Greensboro, NC"
702,2012,18-Mar-12,Midwest,Third Round,12 South Florida,56,13 Ohio,62,,-6,"Nashville, TN"
703,2012,18-Mar-12,West,Third Round,9 Saint Louis,61,1 Michigan State,65,,-4,"Columbus, OH"
704,2012,18-Mar-12,Midwest,Third Round,10 Purdue,60,2 Kansas,63,,-3,"Omaha, NE"
705,2012,18-Mar-12,Midwest,Third Round,13 Ohio,62,12 South Florida,56,,6,"Nashville, TN"
706,2012,18-Mar-12,Midwest,Third Round,11 North Carolina State,66,3 Georgetown,63,,3,"Columbus, OH"
707,2012,18-Mar-12,Midwest,Third Round,1 North Carolina,87,8 Creighton,73,,14,"Greensboro, NC"
708,2012,18-Mar-12,West,Third Round,15 Norfolk State,50,7 Florida,84,,-34,"Omaha, NE"
709,2012,18-Mar-12,West,Third Round,1 Michigan State,65,9 Saint Louis,61,,4,"Columbus, OH"
710,2012,18-Mar-12,South,Third Round,15 Lehigh,58,10 Xavier,70,,-12,"Greensboro, NC"
711,2012,18-Mar-12,Midwest,Third Round,2 Kansas,63,10 Purdue,60,,3,"Omaha, NE"
712,2012,18-Mar-12,Midwest,Third Round,3 Georgetown,63,11 North Carolina State,66,,-3,"Columbus, OH"
713,2012,18-Mar-12,East,Third Round,3 Florida State,56,6 Cincinnati,62,,-6,"Nashville, TN"
714,2012,18-Mar-12,West,Third Round,7 Florida,84,15 Norfolk State,50,,34,"Omaha, NE"
715,2012,18-Mar-12,Midwest,Third Round,8 Creighton,73,1 North Carolina,87,,-14,"Greensboro, NC"
716,2012,18-Mar-12,East,Third Round,6 Cincinnati,62,3 Florida State,56,,6,"Nashville, TN"
717,2012,17-Mar-12,East,Third Round,4 Wisconsin,60,5 Vanderbilt,57,,3,"Albuquerque, NM"
718,2012,17-Mar-12,South,Third Round,12 Virginia Commonwealth,61,4 Indiana,63,,-2,"Portland, OR"
719,2012,17-Mar-12,East,Third Round,5 Vanderbilt,57,4 Wisconsin,60,,-3,"Albuquerque, NM"
720,2012,17-Mar-12,East,Third Round,1 Syracuse,75,8 Kansas State,59,,16,"Pittsburgh, PA"
721,2012,17-Mar-12,East,Third Round,2 Ohio State,73,7 Gonzaga,66,,7,"Pittsburgh, PA"
722,2012,17-Mar-12,West,Third Round,5 New Mexico,56,4 Louisville,59,,-3,"Portland, OR"
723,2012,17-Mar-12,West,Third Round,6 Murray State,53,3 Marquette,62,,-9,"Louisville, KY"
724,2012,17-Mar-12,West,Third Round,3 Marquette,62,6 Murray State,53,,9,"Louisville, KY"
725,2012,17-Mar-12,West,Third Round,4 Louisville,59,5 New Mexico,56,,3,"Portland, OR"
726,2012,17-Mar-12,South,Third Round,1 Kentucky,87,8 Iowa State,71,,16,"Louisville, KY"
727,2012,17-Mar-12,East,Third Round,8 Kansas State,59,1 Syracuse,75,,-16,"Pittsburgh, PA"
728,2012,17-Mar-12,South,Third Round,8 Iowa State,71,1 Kentucky,87,,-16,"Louisville, KY"
729,2012,17-Mar-12,South,Third Round,4 Indiana,63,12 Virginia Commonwealth,61,,2,"Portland, OR"
730,2012,17-Mar-12,East,Third Round,7 Gonzaga,66,2 Ohio State,73,,-7,"Pittsburgh, PA"
731,2012,17-Mar-12,South,Third Round,11 Colorado,63,3 Baylor,80,,-17,"The Pit, Al"
732,2012,17-Mar-12,South,Third Round,3 Baylor,80,11 Colorado,63,,17,"The Pit, Al"
733,2012,16-Mar-12,South,Second Round,10 Xavier,67,7 Notre Dame,63,,4,"Greensboro, NC"
734,2012,16-Mar-12,West,Second Round,10 Virginia,45,7 Florida,71,,-26,"Omaha, NE"
735,2012,16-Mar-12,Midwest,Second Round,16 Vermont,58,1 North Carolina,77,,-19,"Greensboro, NC"
736,2012,16-Mar-12,East,Second Round,11 Texas,59,6 Cincinnati,65,,-6,"Nashville, TN"
737,2012,16-Mar-12,Midwest,Second Round,5 Temple,44,12 South Florida,58,,-14,"Nashville, TN"
738,2012,16-Mar-12,East,Second Round,14 St. Bonaventure,63,3 Florida State,66,,-3,"Nashville, TN"
739,2012,16-Mar-12,Midwest,Second Round,12 South Florida,58,5 Temple,44,,14,"Nashville, TN"
740,2012,16-Mar-12,Midwest,Second Round,6 San Diego State,65,11 North Carolina State,79,,-14,"Columbus, OH"
741,2012,16-Mar-12,Midwest,Second Round,7 Saint Mary's (CA),69,10 Purdue,72,,-3,"Omaha, NE"
742,2012,16-Mar-12,West,Second Round,9 Saint Louis,61,8 Memphis,54,,7,"Columbus, OH"
743,2012,16-Mar-12,Midwest,Second Round,10 Purdue,72,7 Saint Mary's (CA),69,,3,"Omaha, NE"
744,2012,16-Mar-12,Midwest,Second Round,13 Ohio,65,4 Michigan,60,,5,"Nashville, TN"
745,2012,16-Mar-12,South,Second Round,7 Notre Dame,63,10 Xavier,67,,-4,"Greensboro, NC"
746,2012,16-Mar-12,Midwest,Second Round,11 North Carolina State,79,6 San Diego State,65,,14,"Columbus, OH"
747,2012,16-Mar-12,Midwest,Second Round,1 North Carolina,77,16 Vermont,58,,19,"Greensboro, NC"
748,2012,16-Mar-12,West,Second Round,15 Norfolk State,86,2 Missouri,84,,2,"Omaha, NE"
749,2012,16-Mar-12,West,Second Round,2 Missouri,84,15 Norfolk State,86,,-2,"Omaha, NE"
750,2012,16-Mar-12,West,Second Round,1 Michigan State,89,16 Long Island University,67,,22,"Columbus, OH"
751,2012,16-Mar-12,Midwest,Second Round,4 Michigan,60,13 Ohio,65,,-5,"Nashville, TN"
752,2012,16-Mar-12,West,Second Round,8 Memphis,54,9 Saint Louis,61,,-7,"Columbus, OH"
753,2012,16-Mar-12,West,Second Round,16 Long Island University,67,1 Michigan State,89,,-22,"Columbus, OH"
754,2012,16-Mar-12,South,Second Round,15 Lehigh,75,2 Duke,70,,5,"Greensboro, NC"
755,2012,16-Mar-12,Midwest,Second Round,2 Kansas,65,15 Detroit Mercy,50,,15,"Omaha, NE"
756,2012,16-Mar-12,Midwest,Second Round,3 Georgetown,74,14 Belmont,59,,15,"Columbus, OH"
757,2012,16-Mar-12,East,Second Round,3 Florida State,66,14 St. Bonaventure,63,,3,"Nashville, TN"
758,2012,16-Mar-12,West,Second Round,7 Florida,71,10 Virginia,45,,26,"Omaha, NE"
759,2012,16-Mar-12,South,Second Round,2 Duke,70,15 Lehigh,75,,-5,"Greensboro, NC"
760,2012,16-Mar-12,Midwest,Second Round,15 Detroit Mercy,50,2 Kansas,65,,-15,"Omaha, NE"
761,2012,16-Mar-12,Midwest,Second Round,8 Creighton,58,9 Alabama,57,,1,"Greensboro, NC"
762,2012,16-Mar-12,East,Second Round,6 Cincinnati,65,11 Texas,59,,6,"Nashville, TN"
763,2012,16-Mar-12,Midwest,Second Round,14 Belmont,59,3 Georgetown,74,,-15,"Columbus, OH"
764,2012,16-Mar-12,Midwest,Second Round,9 Alabama,57,8 Creighton,58,,-1,"Greensboro, NC"
765,2012,15-Mar-12,East,Second Round,4 Wisconsin,73,13 Montana,49,,24,"Albuquerque, NM"
766,2012,15-Mar-12,South,Second Round,5 Wichita State,59,12 Virginia Commonwealth,62,,-3,"Portland, OR"
767,2012,15-Mar-12,South,Second Round,16 Western Kentucky,66,1 Kentucky,81,,-15,"Louisville, KY"
768,2012,15-Mar-12,East,Second Round,10 West Virginia,54,7 Gonzaga,77,,-23,"Pittsburgh, PA"
769,2012,15-Mar-12,South,Second Round,12 Virginia Commonwealth,62,5 Wichita State,59,,3,"Portland, OR"
770,2012,15-Mar-12,East,Second Round,5 Vanderbilt,79,12 Harvard,70,,9,"Albuquerque, NM"
771,2012,15-Mar-12,East,Second Round,1 Syracuse,72,16 North Carolina-Asheville,65,,7,"Pittsburgh, PA"
772,2012,15-Mar-12,East,Second Round,9 Southern Mississippi,64,8 Kansas State,70,,-6,"Pittsburgh, PA"
773,2012,15-Mar-12,South,Second Round,14 South Dakota State,60,3 Baylor,68,,-8,"Albuquerque, NM"
774,2012,15-Mar-12,East,Second Round,2 Ohio State,78,15 Loyola (MD),59,,19,"Pittsburgh, PA"
775,2012,15-Mar-12,East,Second Round,16 North Carolina-Asheville,65,1 Syracuse,72,,-7,"Pittsburgh, PA"
776,2012,15-Mar-12,South,Second Round,13 New Mexico State,66,4 Indiana,79,,-13,"Portland, OR"
777,2012,15-Mar-12,West,Second Round,5 New Mexico,75,12 Long Beach State,68,,7,"Portland, OR"
778,2012,15-Mar-12,South,Second Round,6 Nevada-Las Vegas,64,11 Colorado,68,,-4,"Albuquerque, NM"
779,2012,15-Mar-12,West,Second Round,6 Murray State,58,11 Colorado State,41,,17,"Louisville, KY"
780,2012,15-Mar-12,East,Second Round,13 Montana,49,4 Wisconsin,73,,-24,"Albuquerque, NM"
781,2012,15-Mar-12,West,Second Round,3 Marquette,88,14 Brigham Young,68,,20,"Louisville, KY"
782,2012,15-Mar-12,East,Second Round,15 Loyola (MD),59,2 Ohio State,78,,-19,"Pittsburgh, PA"
783,2012,15-Mar-12,West,Second Round,4 Louisville,69,13 Davidson,62,,7,"Portland, OR"
784,2012,15-Mar-12,West,Second Round,12 Long Beach State,68,5 New Mexico,75,,-7,"Portland, OR"
785,2012,15-Mar-12,South,Second Round,1 Kentucky,81,16 Western Kentucky,66,,15,"Louisville, KY"
786,2012,15-Mar-12,East,Second Round,8 Kansas State,70,9 Southern Mississippi,64,,6,"Pittsburgh, PA"
787,2012,15-Mar-12,South,Second Round,8 Iowa State,77,9 Connecticut,64,,13,"Louisville, KY"
788,2012,15-Mar-12,South,Second Round,4 Indiana,79,13 New Mexico State,66,,13,"Portland, OR"
789,2012,15-Mar-12,East,Second Round,12 Harvard,70,5 Vanderbilt,79,,-9,"Albuquerque, NM"
790,2012,15-Mar-12,East,Second Round,7 Gonzaga,77,10 West Virginia,54,,23,"Pittsburgh, PA"
791,2012,15-Mar-12,West,Second Round,13 Davidson,62,4 Louisville,69,,-7,"Portland, OR"
792,2012,15-Mar-12,South,Second Round,9 Connecticut,64,8 Iowa State,77,,-13,"Louisville, KY"
793,2012,15-Mar-12,West,Second Round,11 Colorado State,41,6 Murray State,58,,-17,"Louisville, KY"
794,2012,15-Mar-12,South,Second Round,11 Colorado,68,6 Nevada-Las Vegas,64,,4,"Albuquerque, NM"
795,2012,15-Mar-12,West,Second Round,14 Brigham Young,68,3 Marquette,88,,-20,"Louisville, KY"
796,2012,15-Mar-12,South,Second Round,3 Baylor,68,14 South Dakota State,60,,8,"Albuquerque, NM"
797,2012,14-Mar-12,Midwest,First Round,16 Vermont,71,16 Lamar,59,,12,"Dayton, OH"
798,2012,14-Mar-12,Midwest,First Round,12 South Florida,65,12 California,54,,11,"Dayton, OH"
799,2012,14-Mar-12,Midwest,First Round,16 Lamar,59,16 Vermont,71,,-12,"Dayton, OH"
800,2012,14-Mar-12,Midwest,First Round,12 California,54,12 South Florida,65,,-11,"Dayton, OH"
801,2012,13-Mar-12,South,First Round,16 Western Kentucky,59,16 Mississippi Valley State,58,,1,"Dayton, OH"
802,2012,13-Mar-12,South,First Round,16 Mississippi Valley State,58,16 Western Kentucky,59,,-1,"Dayton, OH"
803,2012,13-Mar-12,West,First Round,14 Iona,72,14 Brigham Young,78,,-6,"Dayton, OH"
804,2012,13-Mar-12,West,First Round,14 Brigham Young,78,14 Iona,72,,6,"Dayton, OH"
805,2011,4-Apr-11,National,National Final,3 Connecticut,53,8 Butler,41,,12,"Houston, TX"
806,2011,4-Apr-11,National,National Final,8 Butler,41,3 Connecticut,53,,-12,"Houston, TX"
807,2011,2-Apr-11,National,National Semifinal,11 Virginia Commonwealth,62,8 Butler,70,,-8,"Houston, TX"
808,2011,2-Apr-11,National,National Semifinal,4 Kentucky,55,3 Connecticut,56,,-1,"Houston, TX"
809,2011,2-Apr-11,National,National Semifinal,3 Connecticut,56,4 Kentucky,55,,1,"Houston, TX"
810,2011,2-Apr-11,National,National Semifinal,8 Butler,70,11 Virginia Commonwealth,62,,8,"Houston, TX"
811,2011,27-Mar-11,Southwest,Regional Final,11 Virginia Commonwealth,71,1 Kansas,61,,10,"San Antonio, TX"
812,2011,27-Mar-11,East,Regional Final,2 North Carolina,69,4 Kentucky,76,,-7,"Newark, NJ"
813,2011,27-Mar-11,East,Regional Final,4 Kentucky,76,2 North Carolina,69,,7,"Newark, NJ"
814,2011,27-Mar-11,Southwest,Regional Final,1 Kansas,61,11 Virginia Commonwealth,71,,-10,"San Antonio, TX"
815,2011,26-Mar-11,Southeast,Regional Final,2 Florida,71,8 Butler,74,OT,-3,"New Orleans, LA"
816,2011,26-Mar-11,West,Regional Final,3 Connecticut,65,5 Arizona,63,,2,"Anaheim, CA"
817,2011,26-Mar-11,Southeast,Regional Final,8 Butler,74,2 Florida,71,OT,3,"New Orleans, LA"
818,2011,26-Mar-11,West,Regional Final,5 Arizona,63,3 Connecticut,65,,-2,"Anaheim, CA"
819,2011,25-Mar-11,Southwest,Regional Semifinal,11 Virginia Commonwealth,72,10 Florida State,71,OT,1,"San Antonio, TX"
820,2011,25-Mar-11,Southwest,Regional Semifinal,12 Richmond,57,1 Kansas,77,,-20,"San Antonio, TX"
821,2011,25-Mar-11,East,Regional Semifinal,1 Ohio State,60,4 Kentucky,62,,-2,"Newark, NJ"
822,2011,25-Mar-11,East,Regional Semifinal,2 North Carolina,81,11 Marquette,63,,18,"Newark, NJ"
823,2011,25-Mar-11,East,Regional Semifinal,11 Marquette,63,2 North Carolina,81,,-18,"Newark, NJ"
824,2011,25-Mar-11,East,Regional Semifinal,4 Kentucky,62,1 Ohio State,60,,2,"Newark, NJ"
825,2011,25-Mar-11,Southwest,Regional Semifinal,1 Kansas,77,12 Richmond,57,,20,"San Antonio, TX"
826,2011,25-Mar-11,Southwest,Regional Semifinal,10 Florida State,71,11 Virginia Commonwealth,72,OT,-1,"San Antonio, TX"
827,2011,24-Mar-11,Southeast,Regional Semifinal,4 Wisconsin,54,8 Butler,61,,-7,"New Orleans, LA"
828,2011,24-Mar-11,West,Regional Semifinal,2 San Diego State,67,3 Connecticut,74,,-7,"Anaheim, CA"
829,2011,24-Mar-11,Southeast,Regional Semifinal,2 Florida,83,3 Brigham Young,74,OT,9,"New Orleans, LA"
830,2011,24-Mar-11,West,Regional Semifinal,1 Duke,77,5 Arizona,93,,-16,"Anaheim, CA"
831,2011,24-Mar-11,West,Regional Semifinal,3 Connecticut,74,2 San Diego State,67,,7,"Anaheim, CA"
832,2011,24-Mar-11,Southeast,Regional Semifinal,8 Butler,61,4 Wisconsin,54,,7,"New Orleans, LA"
833,2011,24-Mar-11,Southeast,Regional Semifinal,3 Brigham Young,74,2 Florida,83,OT,-9,"New Orleans, LA"
834,2011,24-Mar-11,West,Regional Semifinal,5 Arizona,93,1 Duke,77,,16,"Anaheim, CA"
835,2011,20-Mar-11,East,Third Round,7 Washington,83,2 North Carolina,86,,-3,"Charlotte, NC"
836,2011,20-Mar-11,Southwest,Third Round,11 Virginia Commonwealth,94,3 Purdue,76,,18,"Chicago, IL"
837,2011,20-Mar-11,West,Third Round,4 Texas,69,5 Arizona,70,,-1,"Tulsa, OK"
838,2011,20-Mar-11,East,Third Round,3 Syracuse,62,11 Marquette,66,,-4,"Cleveland, OH"
839,2011,20-Mar-11,Southwest,Third Round,3 Purdue,76,11 Virginia Commonwealth,94,,-18,"Chicago, IL"
840,2011,20-Mar-11,East,Third Round,1 Ohio State,98,8 George Mason,66,,32,"Cleveland, OH"
841,2011,20-Mar-11,Southwest,Third Round,2 Notre Dame,57,10 Florida State,71,,-14,"Chicago, IL"
842,2011,20-Mar-11,East,Third Round,2 North Carolina,86,7 Washington,83,,3,"Charlotte, NC"
