Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
131,2017,14-Mar-17,South,First Four,11 Wake Forest,88,11 Kansas State,95,,-7,"Dayton, OH"
132,2017,14-Mar-17,East,First Four,16 New Orleans,66,16 Mount St. Mary's,67,,-1,"Dayton, OH"
133,2017,14-Mar-17,East,First Four,16 Mount St. Mary's,67,16 New Orleans,66,,1,"Dayton, OH"
134,2017,14-Mar-17,South,First Four,11 Kansas State,95,11 Wake Forest,88,,7,"Dayton, OH"
135,2016,4-Apr-16,National,National Final,2 Villanova,77,1 North Carolina,74,,3,"Houston, TX"
136,2016,4-Apr-16,National,National Final,1 North Carolina,74,2 Villanova,77,,-3,"Houston, TX"
137,2016,2-Apr-16,National,National Semifinal,2 Villanova,95,2 Oklahoma,51,,44,"Houston, TX"
138,2016,2-Apr-16,National,National Semifinal,10 Syracuse,66,1 North Carolina,83,,-17,"Houston, TX"
139,2016,2-Apr-16,National,National Semifinal,2 Oklahoma,51,2 Villanova,95,,-44,"Houston, TX"
140,2016,2-Apr-16,National,National Semifinal,1 North Carolina,83,10 Syracuse,66,,17,"Houston, TX"
141,2016,27-Mar-16,Midwest,Regional Final,1 Virginia,62,10 Syracuse,68,,-6,"Chicago, IL"
142,2016,27-Mar-16,Midwest,Regional Final,10 Syracuse,68,1 Virginia,62,,6,"Chicago, IL"
143,2016,27-Mar-16,East,Regional Final,6 Notre Dame,74,1 North Carolina,88,,-14,"Philadelphia, PA"
144,2016,27-Mar-16,East,Regional Final,1 North Carolina,88,6 Notre Dame,74,,14,"Philadelphia, PA"
145,2016,26-Mar-16,South,Regional Final,2 Villanova,64,1 Kansas,59,,5,"Louisville, KY"
146,2016,26-Mar-16,West,Regional Final,1 Oregon,68,2 Oklahoma,80,,-12,"Anaheim, CA"
147,2016,26-Mar-16,West,Regional Final,2 Oklahoma,80,1 Oregon,68,,12,"Anaheim, CA"
148,2016,26-Mar-16,South,Regional Final,1 Kansas,59,2 Villanova,64,,-5,"Louisville, KY"
149,2016,25-Mar-16,East,Regional Semifinal,7 Wisconsin,56,6 Notre Dame,61,,-5,"Philadelphia, PA"
150,2016,25-Mar-16,Midwest,Regional Semifinal,1 Virginia,84,4 Iowa State,71,,13,"Chicago, IL"
151,2016,25-Mar-16,Midwest,Regional Semifinal,10 Syracuse,63,11 Gonzaga,60,,3,"Chicago, IL"
